Frame,Index,Lane,Abs,Phase,I,Q
6002,108,0,6064,371084976,2051,-6881
6002,108,1,6065,371943969,-3126,-719
6002,108,2,6066,372802962,5553,-149
6002,108,3,6067,373661955,4463,-6267
6002,109,0,6068,374520948,-9435,2490
6002,109,1,6069,375379941,-266,1276
6002,109,2,6070,376238934,622,-6487
6002,109,3,6071,377097927,-5226,2763
6002,110,0,6072,377956920,-2395,398
6002,110,1,6073,378815913,-4016,-6396
6002,110,2,6074,379674906,-1512,1144
6002,110,3,6075,380533899,-2871,3756
6002,111,0,6076,381392892,-5657,1918
6002,111,1,6077,382251885,2071,424
6002,111,2,6078,383110878,8317,-972
6002,111,3,6079,383969871,3947,-1544
6002,112,0,6080,384828864,-3738,-1592
6002,112,1,6081,385687857,-1142,3861
6002,112,2,6082,386546850,-1753,4435
6002,112,3,6083,387405843,-3382,-1705
6002,113,0,6084,388264836,5767,-1485
6002,113,1,6085,389123829,4214,2367
6002,113,2,6086,389982822,700,4566
6002,113,3,6087,390841815,484,4955
6002,114,0,6088,391700808,-4329,1834
6002,114,1,6089,392559801,913,-2519
6002,114,2,6090,393418794,3792,1478
6002,114,3,6091,394277787,1019,5277
6002,115,0,6092,395136780,1976,-2262
6002,115,1,6093,395995773,1664,-1615
6002,115,2,6094,396854766,3096,991
6002,115,3,6095,397713759,3371,-6120
6002,116,0,6096,398572752,7452,-2583
6002,116,1,6097,399431745,8788,-1466
6002,116,2,6098,400290738,1937,-8940
6002,116,3,6099,401149731,4304,-4471
6002,117,0,6100,402008724,-1581,-428
6002,117,1,6101,402867717,-9727,-2414
6002,117,2,6102,403726710,2233,-69
6002,117,3,6103,404585703,2617,592
6002,118,0,6104,405444696,-4110,-2527
6002,118,1,6105,406303689,2548,-1455
6002,118,2,6106,407162682,2192,740
6002,118,3,6107,408021675,215,-2111
6002,119,0,6108,408880668,3095,680
6002,119,1,6109,409739661,-1191,5522
6002,119,2,6110,410598654,-2277,198
6002,119,3,6111,411457647,974,-902
6002,120,0,6112,412316640,2006,5084
6002,120,1,6113,413175633,4589,1505
6002,120,2,6114,414034626,-3528,-7114
6002,120,3,6115,414893619,-9836,-2952
6002,121,0,6116,415752612,2792,2499
6002,121,1,6117,416611605,1145,-4472
6002,121,2,6118,417470598,-10379,-524
6002,121,3,6119,418329591,-3498,6675
6002,122,0,6120,419188584,1622,-1371
6002,122,1,6121,420047577,-403,-2240
6002,122,2,6122,420906570,-1146,-2479
6002,122,3,6123,421765563,-3424,-6576
6002,123,0,6124,422624556,-3015,-222
6002,123,1,6125,423483549,-845,-376
6002,123,2,6126,424342542,2012,-4541
6002,123,3,6127,425201535,1460,-4531
6002,124,0,6128,426060528,-2382,-6725
6002,124,1,6129,426919521,-430,-2305
6002,124,2,6130,427778514,1353,2120
6002,124,3,6131,428637507,-1297,2892
6002,125,0,6132,429496500,-185,4917
6002,125,1,6133,430355493,3508,-1712
6002,125,2,6134,431214486,745,-7512
6002,125,3,6135,432073479,-1308,-5959
6002,126,0,6136,432932472,1271,-4992
6002,126,1,6137,433791465,-4240,1691
6002,126,2,6138,434650458,-5293,2363
6002,126,3,6139,435509451,2912,-5717
6002,127,0,6140,436368444,1233,524
6002,127,1,6141,437227437,-4628,3097
6002,127,2,6142,438086430,-3921,-6984
6002,127,3,6143,438945423,3211,-2675
6002,128,0,6144,439804416,3727,6508
6002,128,1,6145,440663409,-1786,5832
6002,128,2,6146,441522402,3760,-2080
6002,128,3,6147,442381395,3059,-8129
6002,129,0,6148,443240388,-1846,-629
6002,129,1,6149,444099381,-67,3348
6002,129,2,6150,444958374,-6130,1374
6002,129,3,6151,445817367,-5061,-293
6002,130,0,6152,446676360,-1170,-7696
6002,130,1,6153,447535353,-1255,-3997
6002,130,2,6154,448394346,5336,-191
6002,130,3,6155,449253339,1678,-4056
6002,131,0,6156,450112332,1311,1614
6002,131,1,6157,450971325,4581,1660
6002,131,2,6158,451830318,-3763,-1113
6002,131,3,6159,452689311,1659,-2334
6002,132,0,6160,453548304,6701,-4592
6002,132,1,6161,454407297,-400,3693
6002,132,2,6162,455266290,1549,4087
6002,132,3,6163,456125283,5075,-1161
6002,133,0,6164,456984276,2947,-3373
6002,133,1,6165,457843269,-3573,-4750
6002,133,2,6166,458702262,-3277,7473
6002,133,3,6167,459561255,3226,3424
6002,134,0,6168,460420248,-2225,-12371
6002,134,1,6169,461279241,-4740,-5375
6002,134,2,6170,462138234,3228,-471
6002,134,3,6171,462997227,5447,-1735
6002,135,0,6172,463856220,1070,-3006
6002,135,1,6173,464715213,-462,-4600
6002,135,2,6174,465574206,2678,2847
6002,135,3,6175,466433199,1048,1858
6002,136,0,6176,467292192,-405,-632
6002,136,1,6177,468151185,1062,3009
6002,136,2,6178,469010178,1509,-2535
6002,136,3,6179,469869171,5721,-2066
6002,137,0,6180,470728164,2898,5648
6002,137,1,6181,471587157,-1620,2815
6002,137,2,6182,472446150,-3231,-3261
6002,137,3,6183,473305143,-11967,235
6002,138,0,6184,474164136,-6987,4128
6002,138,1,6185,475023129,2621,701
6002,138,2,6186,475882122,-2282,2205
6002,138,3,6187,476741115,-3793,2433
6002,139,0,6188,477600108,-3995,-2365
6002,139,1,6189,478459101,-477,-777
6002,139,2,6190,479318094,5717,-485
6002,139,3,6191,480177087,1173,-1613
6002,140,0,6192,481036080,3004,-1953
6002,140,1,6193,481895073,9569,-1297
6002,140,2,6194,482754066,6508,3659
6002,140,3,6195,483613059,-799,172
6002,141,0,6196,484472052,-7221,-4475
6002,141,1,6197,485331045,-2600,-714
6002,141,2,6198,486190038,5659,2338
6002,141,3,6199,487049031,7031,8498
6002,142,0,6200,487908024,6267,8516
6002,142,1,6201,488767017,-1090,-700
6002,142,2,6202,489626010,-3738,-320
6002,142,3,6203,490485003,2541,999
6002,143,0,6204,491343996,917,-3948
6002,143,1,6205,492202989,-634,-690
6002,143,2,6206,493061982,2370,3822
6002,143,3,6207,493920975,3036,988
6002,144,0,6208,494779968,1023,3032
6002,144,1,6209,495638961,-4103,6779
6002,144,2,6210,496497954,-762,1269
6002,144,3,6211,497356947,4319,-4574
6002,145,0,6212,498215940,-1294,-3499
6002,145,1,6213,499074933,-1928,-858
6002,145,2,6214,499933926,1010,1509
6002,145,3,6215,500792919,644,5015
6002,146,0,6216,501651912,-168,1820
6002,146,1,6217,502510905,-3938,-4098
6002,146,2,6218,503369898,-468,718
6002,146,3,6219,504228891,4725,1894
6002,147,0,6220,505087884,219,-4267
6002,147,1,6221,505946877,-3301,-3817
6002,147,2,6222,506805870,-5215,-2493
6002,147,3,6223,507664863,-4471,-1262
6002,148,0,6224,508523856,-111,-368
6002,148,1,6225,509382849,-880,659
6002,148,2,6226,510241842,-2486,2221
6002,148,3,6227,511100835,351,-629
6002,149,0,6228,511959828,4402,3959
6002,149,1,6229,512818821,3473,5078
6002,149,2,6230,513677814,-3044,-1863
6002,149,3,6231,514536807,-7888,1750
6002,150,0,6232,515395800,-5464,126
6002,150,1,6233,516254793,2675,-73
6002,150,2,6234,517113786,3988,7078
6002,150,3,6235,517972779,3174,1984
6002,151,0,6236,518831772,7517,2261
6002,151,1,6237,519690765,2667,5231
6002,151,2,6238,520549758,-4539,-1471
6002,151,3,6239,521408751,-3432,-2456
6002,152,0,6240,522267744,2293,3221
6002,152,1,6241,523126737,4564,4123
