GROUP,SLACK,REQUIREMENT,STARTPOINT_PIN,ENDPOINT_PIN,DATAPATH_DELAY,LOGIC_LEVELS
"clk500","-0.079","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/window_credits/fifo/gnuram_async_fifo.xpm_fifo_base_inst/wrpp1_inst/count_value_i_reg[0]/CE","1.976","4"
"clk500","-0.079","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/window_credits/fifo/gnuram_async_fifo.xpm_fifo_base_inst/wrpp1_inst/count_value_i_reg[1]/CE","1.976","4"
"clk500","-0.079","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/window_credits/fifo/gnuram_async_fifo.xpm_fifo_base_inst/wrpp2_inst/count_value_i_reg[0]/CE","1.976","4"
"clk500","-0.078","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_1/DINADIN[12]","1.789","3"
"clk500","-0.078","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/window_credits/fifo/gnuram_async_fifo.xpm_fifo_base_inst/wrpp1_inst/count_value_i_reg[2]/CE","1.976","4"
"clk500","-0.078","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/window_credits/fifo/gnuram_async_fifo.xpm_fifo_base_inst/wrpp2_inst/count_value_i_reg[2]/CE","1.976","4"
"clk500","-0.076","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[16]/CE","1.973","4"
"clk500","-0.076","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[36]/CE","1.973","4"
"clk500","-0.075","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/packed_head_reg[41]/CE","1.972","5"
"clk500","-0.075","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/packed_head_reg[46]/CE","1.972","5"
"clk500","-0.075","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/packed_head_reg[4]/CE","1.972","5"
"clk500","-0.075","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/packed_head_reg[60]/CE","1.972","5"
"clk500","-0.075","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[43]/CE","1.972","4"
"clk500","-0.072","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/packed_head_reg[101]/CE","1.969","5"
"clk500","-0.072","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/packed_head_reg[20]/CE","1.969","5"
"clk500","-0.072","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/packed_head_reg[73]/CE","1.969","5"
"clk500","-0.072","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/packed_head_reg[9]/CE","1.969","5"
"clk500","-0.072","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[21]","1.803","3"
"clk500","-0.072","2.000","cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK","cfo/observation_front/pr4_reg_i_5_psdsp/D","2.007","2"
"clk500","-0.071","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_1/DINADIN[9]","1.799","3"
"clk500","-0.071","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[9]","1.788","3"
