group,endpoints,tns_ns,wns_ns
clk150:sfo/two_pass_transport/first_resampling/engine/core/stream/lane_phase_reg[][]/C -> sfo/two_pass_transport/first_resampling/engine/core/stream/arithmetic/real_channel[0].u_real/pre_bc/g18.u_add/U0/xst_addsub/i_baseblox.i_baseblox_addsub/no_pipelining.the_addsub/i_lut6.i_lut6_addsub/i_q.i_simple.qreg/i_no_async_controls.output_reg[]/D,15,-2.949,-0.27
clk150:sfo/two_pass_transport/first_resampling/engine/core/stream/lane_phase_reg[][]/C -> sfo/two_pass_transport/first_resampling/engine/core/stream/arithmetic/real_channel[1].u_real/pre_ca/g18.u_add/U0/xst_addsub/i_baseblox.i_baseblox_addsub/no_pipelining.the_addsub/i_lut6.i_lut6_addsub/i_q.i_simple.qreg/i_no_async_controls.output_reg[]/D,16,-2.947,-0.266
clk500:cfo/observation_front/fft_core/sub_q6_reg[]/C -> cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[],5,-2.9,-0.621
clk500:sfo/residual_estimator/front_stage/main/service/reset_sync500/syncstages_ff_reg[]/C -> sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/axi_wrapper/data_in_channel_fifo/gen_real_time.data_out_reg[]/CE,14,-2.892,-0.209
clk150:poison_sync/syncstages_ff_reg[]/C -> cfo/coarse_banks[1].memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_7/CAS_IN_BWE_B[],9,-2.888,-0.384
clk500:sfo/residual_estimator/aux_service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/has_bit_reverse.no_cp.muxed_reorder_write_addr_del_reg[]/C -> sfo/residual_estimator/aux_service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/has_bit_reverse.dig_rev_mem/blk_ram.use_bram_only.mem/depth_14.main_ram_loop[].use_RAMB18.ram_2k_loop[].SDP_RAMB18_9x2048/ADDRARDADDR[],11,-2.87,-0.425
clk500:cfo/observation_front/fft_core/m_generation_reg[]/C -> cfo/observation_front/fft_core/stage_index_reg[]/CE,4,-2.848,-0.72
clk150:sfo/two_pass_transport/intermediate[0].intermediate_bank/write_gen_reg[]/C -> sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_95/CAS_IN_BWE_B[],9,-2.833,-0.4
clk500:sfo/residual_estimator/aux_service/u_xfft/U0/i_synth/axi_wrapper/sclr_int_reg/C -> sfo/residual_estimator/aux_service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/run_time_1.mux0_sclr_reg[].mux0_sclr_ff/D,14,-2.796,-0.305
clk500:cfo/windows/sample_index_reg[]/C -> cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/rdpp1_inst/count_value_i_reg[]/D,11,-2.755,-0.344
clk500:cfo/observation_front/fft_core/sub_i6_reg[]/C -> cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[],5,-2.728,-0.607
clk500:sfo/residual_estimator/aux_service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/has_bit_reverse.no_cp.muxed_reorder_write_addr_del_reg[]/C -> sfo/residual_estimator/aux_service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/has_bit_reverse.dig_rev_mem/blk_ram.use_bram_only.mem/depth_14.need_extra_rams.extra_ram_loop[].use_RAMB18.SDP_RAMB18_1x16384/ADDRARDADDR[],9,-2.626,-0.439
clk500:cfo/observation_front/fft_core/FSM_sequential_state_reg[]_rep/C -> cfo/observation_front/fft_core/ar3_reg[]/CE,22,-2.583,-0.329
clk500:cfo/observation_front/fft_core/FSM_sequential_state_reg[]_rep/C -> cfo/observation_front/fft_core/tag_reg[][row_b][]/CE,10,-2.565,-0.378
clk500:cfo/observation_front/fft_core/FSM_sequential_state_reg[]/C -> cfo/observation_front/fft_core/ar5_reg[]/CE,19,-2.469,-0.204
clk500:cfo/observation_front/fft_core/FSM_sequential_state_reg[]/C -> cfo/observation_front/fft_core/ar4_reg[]/CE,21,-2.446,-0.302
clk500:cfo/observation_front/fft_core/sub_i6_reg[]/C -> cfo/observation_front/fft_core/bank0_reg_bram_0/DINPADINP[],4,-2.441,-0.674
clk150:sfo/two_pass_transport/first_resampling/engine/core/stream/lane_phase_reg[][]/C -> sfo/two_pass_transport/first_resampling/engine/core/stream/arithmetic/real_channel[1].u_real/pre_ab2/g18.u_add/U0/xst_addsub/i_baseblox.i_baseblox_addsub/no_pipelining.the_addsub/i_lut6.i_lut6_addsub/i_q.i_simple.qreg/i_no_async_controls.output_reg[]/D,13,-2.397,-0.248
clk500:cfo/reset_fast/arststages_ff_reg[]/C -> cfo/observation_front/fft_core/tag_reg[][row_b][]/R,29,-2.342,-0.143
clk150:sfo/two_pass_transport/intermediate[0].intermediate_bank/write_gen_reg[]/C -> sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_105/CAS_IN_BWE_B[],9,-2.298,-0.375
clk150:sfo/two_pass_transport/intermediate[0].intermediate_bank/write_gen_reg[]/C -> sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_119/CAS_IN_BWE_B[],9,-2.293,-0.336
clk500:sfo/residual_estimator/aux_service/configured_reg/C -> sfo/residual_estimator/aux_service/u_xfft/U0/i_synth/axi_wrapper/config_channel_fifo/gen_real_time.data_out_reg[]/CE,6,-2.271,-0.492
clk150:poison_sync/syncstages_ff_reg[]/C -> cfo/coarse_banks[0].memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_161/CAS_IN_BWE_B[],9,-2.232,-0.334
clk500:sfo/residual_estimator/front_stage/main/service/u_egress_fifo/gnuram_async_fifo.xpm_fifo_base_inst/xpm_fifo_rst_inst/gen_rst_ic.wr_rst_busy_ic_reg/C -> sfo/residual_estimator/front_stage/main/service/u_egress_fifo/gnuram_async_fifo.xpm_fifo_base_inst/wrp_inst/count_value_i_reg[]/D,12,-2.223,-0.263
