"GROUP","SLACK","REQUIREMENT","STARTPOINT_PIN","ENDPOINT_PIN","STARTPOINT_CLOCK","ENDPOINT_CLOCK","DATAPATH_DELAY","LOGIC_LEVELS","SKEW","UNCERTAINTY"
"clk500","-0.085","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/m_generation_reg[23]/CE","clk500","clk500","1.982","3","-0.008","0.035"
"clk500","-0.084","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/ADDRARDADDR[8]","clk500","clk500","1.777","3","0.011","0.035"
"clk500","-0.084","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_1/DINADIN[0]","clk500","clk500","1.769","3","0.011","0.035"
"clk500","-0.084","2.000","cfo/observation_front/fft_core/next_output_reg[2]/C","cfo/observation_front/fft_core/bank0_reg_bram_1/ADDRBWRADDR[12]","clk500","clk500","1.769","4","0.010","0.035"
"clk500","-0.083","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/m_generation_reg[0]/CE","clk500","clk500","1.980","3","-0.008","0.035"
"clk500","-0.083","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/m_generation_reg[12]/CE","clk500","clk500","1.980","3","-0.008","0.035"
"clk500","-0.083","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/m_generation_reg[18]/CE","clk500","clk500","1.980","3","-0.008","0.035"
"clk500","-0.083","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/m_generation_reg[22]/CE","clk500","clk500","1.980","3","-0.008","0.035"
"clk500","-0.081","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank0_reg_bram_0/ADDRARDADDR[6]","clk500","clk500","1.772","3","0.011","0.035"
"clk500","-0.081","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/m_generation_reg[21]/CE","clk500","clk500","1.978","3","-0.008","0.035"
"clk500","-0.081","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/m_generation_reg[4]/CE","clk500","clk500","1.978","3","-0.008","0.035"
"clk500","-0.081","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/m_generation_reg[6]/CE","clk500","clk500","1.978","3","-0.008","0.035"
"clk500","-0.081","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/m_generation_reg[3]/CE","clk500","clk500","1.979","3","-0.008","0.035"
"clk500","-0.081","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/m_generation_reg[5]/CE","clk500","clk500","1.979","3","-0.008","0.035"
"clk500","-0.081","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/m_generation_reg[9]/CE","clk500","clk500","1.979","3","-0.008","0.035"
"clk500","-0.080","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[115]/CE","clk500","clk500","1.977","4","-0.007","0.035"
"clk500","-0.080","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[121]/CE","clk500","clk500","1.977","4","-0.007","0.035"
"clk500","-0.080","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[53]/CE","clk500","clk500","1.977","4","-0.007","0.035"
"clk500","-0.080","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[70]/CE","clk500","clk500","1.977","4","-0.007","0.035"
