Frame,Index,Lane,Abs,Phase,I,Q
6001,83,2,5966,286903662,-1716,268
6001,83,3,5967,287762655,-1792,1236
6001,84,0,5968,288621648,3455,-229
6001,84,1,5969,289480641,1652,4366
6001,84,2,5970,290339634,-280,691
6001,84,3,5971,291198627,-1028,-1595
6001,85,0,5972,292057620,-2261,-2593
6001,85,1,5973,292916613,5339,-6008
6001,85,2,5974,293775606,211,-4012
6001,85,3,5975,294634599,-5805,1659
6001,86,0,5976,295493592,3951,-235
6001,86,1,5977,296352585,3861,-7475
6001,86,2,5978,297211578,6860,-2059
6001,86,3,5979,298070571,9439,1878
6001,87,0,5980,298929564,-3681,-3756
6001,87,1,5981,299788557,660,-397
6001,87,2,5982,300647550,7592,1810
6001,87,3,5983,301506543,-2707,1132
6001,88,0,5984,302365536,1032,2956
6001,88,1,5985,303224529,6931,-392
6001,88,2,5986,304083522,-444,-315
6001,88,3,5987,304942515,-4087,3421
6001,89,0,5988,305801508,-5348,5152
6001,89,1,5989,306660501,-1641,1587
6001,89,2,5990,307519494,3039,-4429
6001,89,3,5991,308378487,-587,1505
6001,90,0,5992,309237480,-58,6581
6001,90,1,5993,310096473,951,3166
6001,90,2,5994,310955466,-1917,1664
6001,90,3,5995,311814459,1010,-2863
6001,91,0,5996,312673452,4935,-919
6001,91,1,5997,313532445,55,4810
6001,91,2,5998,314391438,-8518,-1210
6001,91,3,5999,315250431,-3307,-4223
6001,92,0,6000,316109424,2598,-2691
6001,92,1,6001,316968417,-1638,237
6001,92,2,6002,317827410,1649,6913
6001,92,3,6003,318686403,630,-327
6001,93,0,6004,319545396,-1008,-7503
6001,93,1,6005,320404389,3342,-116
6001,93,2,6006,321263382,-1448,470
6001,93,3,6007,322122375,2089,3293
6001,94,0,6008,322981368,4579,9302
6001,94,1,6009,323840361,-1504,-1517
6001,94,2,6010,324699354,-2589,-6392
6001,94,3,6011,325558347,-8225,3871
6001,95,0,6012,326417340,-2295,6694
6001,95,1,6013,327276333,-2123,2335
6001,95,2,6014,328135326,-13455,159
6001,95,3,6015,328994319,1156,2193
6001,96,0,6016,329853312,7661,3541
6001,96,1,6017,330712305,1829,-153
6001,96,2,6018,331571298,4473,-1632
6001,96,3,6019,332430291,666,3867
6001,97,0,6020,333289284,1469,4625
6001,97,1,6021,334148277,-4544,-5381
6001,97,2,6022,335007270,-7286,-5267
6001,97,3,6023,335866263,1095,2895
6001,98,0,6024,336725256,-7249,910
6001,98,1,6025,337584249,-3704,4180
6001,98,2,6026,338443242,3228,4464
